Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude
5/13/2021 10:00,5/13/2021 10:15,480.0,2.3,44.0,42.0,8.75,0.0,0.0,0.0,8.75,Unknown,Taxi Affiliation Services,41.74020576,-87.61596952,41.77887686,-87.59492544
5/1/2021 17:00,5/1/2021 17:15,587.0,0.93,8.0,8.0,7.0,3.0,0.0,1.0,11.5,Credit Card,Sun Taxi,41.89960211,-87.63330804,41.89960211,-87.63330804
4/29/2021 8:30,4/29/2021 9:00,2095.0,8.36,10.0,4.0,25.75,0.0,0.0,1.0,26.75,Prcard,Flash Cab,41.9850151,-87.80453201,41.97517094,-87.68751552
5/20/2021 14:30,5/20/2021 15:00,1517.0,7.08,2.0,6.0,22.0,0.0,0.0,1.0,23.0,Prcard,Flash Cab,42.00157103,-87.69501259,41.9442266,-87.65599818
4/16/2021 14:15,4/16/2021 14:45,1620.0,13.0,56.0,8.0,35.0,10.1,0.0,5.0,50.1,Credit Card,Top Cab Affiliation,41.79259236,-87.76961545,41.89960211,-87.63330804
2/25/2021 17:30,2/25/2021 18:00,2113.0,0.0,8.0,8.0,14.75,0.0,0.0,0.0,14.75,Cash,Flash Cab,41.89960211,-87.63330804,41.89960211,-87.63330804
5/21/2021 19:30,5/21/2021 19:45,360.0,1.3,32.0,32.0,6.5,0.0,0.0,0.0,6.5,Cash,U Taxicab,41.88099447,-87.63274649,41.87101588,-87.63140653
6/3/2021 18:00,6/3/2021 18:00,0.0,0.0,32.0,32.0,8.0,0.0,0.0,0.0,8.0,Credit Card,Taxi Affiliation Services,41.88099447,-87.63274649,41.88099447,-87.63274649
4/9/2021 11:15,4/9/2021 11:30,480.0,0.0,28.0,8.0,7.75,0.0,0.0,0.0,7.75,Cash,Taxi Affiliation Services,41.87925508,-87.642649,41.89503345,-87.61971067
5/5/2021 14:15,5/5/2021 14:45,1619.0,10.77,1.0,33.0,30.25,0.04,0.0,0.0,30.29,Prcard,Flash Cab,42.00962288,-87.67016686,41.85718386,-87.62033462
4/9/2021 22:45,4/9/2021 23:00,900.0,9.3,7.0,38.0,25.0,0.0,0.0,0.0,25.0,Unknown,Taxi Affiliation Services,41.92268628,-87.64948873,41.81294894,-87.61785968
5/3/2021 16:00,5/3/2021 16:30,2027.0,13.0,56.0,8.0,36.0,0.0,0.0,4.0,40.0,Cash,Medallion Leasin,41.79259236,-87.76961545,41.89960211,-87.63330804
2/15/2021 14:15,2/15/2021 14:15,640.0,4.9,8.0,35.0,14.75,0.0,0.0,0.0,14.75,Prcard,Flash Cab,41.89960211,-87.63330804,41.83511799,-87.61867777
5/7/2021 14:15,5/7/2021 14:45,1260.0,0.7,3.0,37.0,30.5,0.0,0.0,0.0,30.5,Unknown,Taxi Affiliation Services,41.96581197,-87.65587879,41.80908443,-87.63242452
2/19/2021 13:45,2/19/2021 13:45,19.0,0.01,6.0,6.0,3.25,0.0,0.0,0.0,3.25,Cash,Flash Cab,41.9442266,-87.65599818,41.9442266,-87.65599818
2/12/2021 18:45,2/12/2021 19:00,1140.0,0.0,28.0,28.0,3.25,0.0,0.0,0.5,3.75,Cash,Medallion Leasin,41.87400538,-87.66351755,41.87400538,-87.66351755
1/4/2021 19:30,1/4/2021 19:45,300.0,0.0,8.0,8.0,5.0,0.0,0.0,0.0,5.0,Cash,Blue Ribbon Taxi Association Inc.,41.89960211,-87.63330804,41.89960211,-87.63330804
3/14/2021 13:45,3/14/2021 14:00,900.0,4.5,8.0,31.0,15.0,0.0,0.0,0.0,15.0,Unknown,Taxi Affiliation Services,41.89960211,-87.63330804,41.85026637,-87.66756931
3/30/2021 18:00,3/30/2021 18:45,2280.0,14.1,8.0,6.0,37.25,10.69,0.0,5.0,53.44,Credit Card,Medallion Leasin,41.89960211,-87.63330804,41.9442266,-87.65599818
2/26/2021 13:15,2/26/2021 14:00,2292.0,18.7,76.0,32.0,46.5,10.2,0.0,4.0,61.2,Credit Card,Chicago Independents,41.97907082,-87.90303966,41.88498719,-87.62099291
3/12/2021 13:00,3/12/2021 13:15,404.0,1.03,8.0,32.0,6.5,1.5,0.0,0.0,8.5,Credit Card,Flash Cab,41.89503345,-87.61971067,41.88099447,-87.63274649
5/20/2021 12:15,5/20/2021 12:15,300.0,1.0,32.0,8.0,6.0,0.0,0.0,0.0,6.0,Cash,Blue Ribbon Taxi Association Inc.,41.87886558,-87.62519214,41.89960211,-87.63330804
3/27/2021 17:15,3/27/2021 17:15,420.0,1.4,32.0,33.0,7.75,0.0,0.0,1.0,8.75,Credit Card,Top Cab Affiliation,41.87886558,-87.62519214,41.85718386,-87.62033462
4/23/2021 7:15,4/23/2021 7:45,1680.0,10.8,39.0,28.0,30.0,0.0,0.0,0.0,30.0,Unknown,Taxi Affiliation Services,41.80891628,-87.59618334,41.87400538,-87.66351755
4/1/2021 20:45,4/1/2021 21:00,1320.0,0.2,3.0,6.0,15.0,0.0,0.0,0.0,15.0,Unknown,Taxi Affiliation Services,41.96581197,-87.65587879,41.9442266,-87.65599818
3/25/2021 12:45,3/25/2021 12:45,262.0,0.71,77.0,3.0,5.25,0.0,0.0,0.0,5.25,Cash,Flash Cab,41.9867118,-87.66341641,41.96581197,-87.65587879
2/17/2021 13:30,2/17/2021 13:45,1252.0,9.77,3.0,33.0,26.5,0.0,0.0,0.0,26.5,Prcard,Flash Cab,41.96581197,-87.65587879,41.85718386,-87.62033462
2/21/2021 9:30,2/21/2021 9:30,480.0,1.8,41.0,41.0,7.75,0.0,0.0,0.0,7.75,Cash,Taxi Affiliation Services,41.79409025,-87.59231086,41.79409025,-87.59231086
5/12/2021 8:15,5/12/2021 8:15,12.0,0.0,59.0,59.0,3.25,0.0,0.0,0.5,3.75,Cash,Globe Taxi,41.8299223,-87.67250265,41.8299223,-87.67250265
1/10/2021 15:00,1/10/2021 15:15,268.0,0.63,8.0,7.0,5.0,0.0,0.0,1.0,6.0,Prcard,Flash Cab,41.89960211,-87.63330804,41.92268628,-87.64948873
1/29/2021 22:00,1/29/2021 22:45,3140.0,25.27,73.0,13.0,65.25,0.0,0.0,0.0,65.25,Cash,Flash Cab,41.71749304,-87.64889507,41.98363631,-87.72358319
5/22/2021 12:45,5/22/2021 13:15,2044.0,5.71,16.0,10.0,21.75,0.0,0.0,0.0,21.75,Prcard,Flash Cab,41.95358213,-87.72345239,41.9850151,-87.80453201
5/26/2021 16:45,5/26/2021 17:30,3161.0,19.38,76.0,32.0,49.5,7.0,0.0,4.0,61.0,Credit Card,Sun Taxi,41.98026432,-87.9136246,41.87886558,-87.62519214
4/22/2021 19:15,4/22/2021 19:45,1860.0,13.5,56.0,8.0,36.5,0.0,0.0,4.0,40.5,Cash,U Taxicab,41.79259236,-87.76961545,41.89960211,-87.63330804
